title,location,weather
"Minute pas
                    minute",Location not found,Invalid location
Dosja '5D' fraksioni II/ Dhanë tenderin e “Tirana Parking” dhe “Klubi Sportiv Tirana” dy ish drejtorëve! SPAK çon në gjyq 9 zyrtarët e bashkisë Tiranë,Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
Ulet çmimi i energjisë për konsumatorët familjarë për vitin 2025! Rama: E para pas 35 viteve! E mirëmenduar e konsultuar dhe me ekspertë ndërkombëtarë,Location not found,Invalid location
"Akuzohet se porositi rrëmbimin dhe zhdukjen e Jan Prengës, Dritan Rexhepi ekstradohet nga Stambolli! Forcat speciale blindojnë Rinasin",Location not found,Invalid location
"Italia sytë nga Lara Colturi, kreu i Skive për Report Tv: Federata vetëm s’e mban dot! Do ishte fatkeqësi kombëtare",Location not found,Invalid location
Nga 1 shkurti ulet çmimi i energjisë elektrike për konsumatorët familjarë! Nën 700  kWh çmimi 8.5 lekë për 2025! Me 9.5 lekë mbi këtë fashë,Location not found,Invalid location
"'Bashkëjeton fshehtas me një gjyqtare', PD kallëzon në SPAK Enkelejd Alibeajn, padashur rëndon pozitat e Belind Këlliçit",Location not found,Invalid location
Akuzat e Berishës se u përgjua për pazare elektorale/ Report Tv siguron shkresën e Majkos dërguar SHISH përmes Kuvendit: Jam vënë në përgjim apo jo,Location not found,Invalid location
"Sot sondazhi në Report Tv/ Si ndahen mandatet në Elbasan, Fier, Berat, Korçë e Vlorë! Si do të ishte vota e emigrantëve në këto 5 qarqe",Fier,"{'temperature': 13.77, 'description': 'clear sky'}"
"E rëndë/ 12 vjeçari humb jetën në spitalin e Tiranës, I mituri nga Maliqi u transportua me urgjencë nga spitali i Korçës",Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
"‘SPAK përkëdhel Berishën, me PS tregohet i pamëshirshëm’, Ilir Yzeiri në Report Tv: Rama nuk ka përballë konkurrentë në zgjedhje, s’kemi opozitë",Location not found,Invalid location
"Tiranë/ U padit për shpifje nga OSHEE, Gjykata e Posaçme shpall të pafajshëm Gazment Bardhin! Deklaroi në tetor se u manipulua përqindja e humbjes së energjisë në rrjet",Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
"Detaji në ‘Repolitix’/ Ish-deputeti Valteri: Belind Këlliçi pagoi për foton me Trump, ka prova dhe faturë! Do ketë tjetër kallëzim në vijim",Location not found,Invalid location
Video e dhunës barbare ndaj 48 vjeçarit në një berberhane në Tiranë! Biznesmeni Tur Koçeku e 5 nga fisi akuzohen se morën hak për sherrin e bujshëm në Palasë,Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
"Në kërkim se organizoi dhunën barbare ndaj 48 vjeçarit në Tiranë, ja bizneset e Luçiano Koçekut! U dhunua në Palasë gushtin e kaluar",Tiranë,"{'temperature': 14.51, 'description': 'broken clouds'}"
"Fluturime direkte me Izraelin, Rama: Forcojnë marrëdhëniet mes vendeve! Hap mundësi për shkëmbime kulturore, turizëm dhe biznes",Location not found,Invalid location
Rama afron bonusin e pranverës për pensionistët: Do e marrin që në shkurt! Nuk do presin të mbarojmë zgjedhjet ne,Location not found,Invalid location
Burime për Report Tv: Përmirësohet gjendja e Kryepiskopit Anastas! Përjashtohet mundësia e ndërhyrjes kirurgjikale! Prej 3 janarit i shtruar në një spital të Athinës,Location not found,Invalid location
"Vrasja e Ramazan Matajt në Shkodër, njëri nga vëllezërit pranon...",Shkodër,"{'temperature': 14.97, 'description': 'broken clouds'}"
"Gaxhai, rivali i Zani Çaushit, del nga burgu për disa orë leje për...",Location not found,Invalid location
2025 nis me fluks të madh pasagjerësh për Aeroportin Ndërkombëtar...,Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
"Zgjedhjet e 11 majit/ Kreu i PAA, Agron Duka: Nuk do kandidoj më për deputet! Për partinë kërkojmë 1-2 vende të sigurta në listën e PD-së",Location not found,Invalid location
"Elbasan/ Korrupsion, përndjekje dhe pagesë karburanti me para false, nën akuzë laboranti i spitalit dhe 2 të tjerë",Elbasan,"{'temperature': 13.36, 'description': 'clear sky'}"
"Lazio lë të lirë Elseid Hysajn me një kusht, mbrojtësi gjen akordin me klubin e ri",Location not found,Invalid location
"Trump këmbëngul në ambiciet territoriale, publikon hartën ku Kanadaja është pjesë e SHBA-së",Location not found,Invalid location
"'700 +1 kWh',  ja si paguhet fatura e çmimit të energjisë elektrike",Location not found,Invalid location
Opinion,Location not found,Invalid location
Enver Robelli: Sërish vjen 10 shkurti,Location not found,Invalid location
"Lorenc Vangjeli: SPAK, ndëshkimi penal dhe zgjidhja politike",Location not found,Invalid location
"Ylli Pata: 2024, viti i rënies së Ilir Metës",Location not found,Invalid location
Ilir Yzeiri: Një vit që ikën dhe një tjetër që vjen,Location not found,Invalid location
"Jakin Marena: ‘Skifterët’ në PD, ‘babi i Zenit’ dhe tundja e belit në K’cimin e ‘Berishës’",Location not found,Invalid location
Lajme te tjera,Location not found,Invalid location
"Donald Trump kërcënoi se do e pushtojë me forcë 'Kanalin panamez', revoltohet ministri i Jashtëm: E kemi fituar me luftë",Location not found,Invalid location
"Ekspozohen dorëshkrime të panjohura të Ismail Kadaresë! Mes letërkëmbimeve, dhe ato me Gunter Grass e Michel Piccoli",Location not found,Invalid location
